iso,name,longitude,latitude,region,lendingType,incomeLevel,ugo_Assist,ugo_SocIns,ugo_Labor,ugo_Status
SWZ,Eswatini,31.4659,-26.5225,SSF,IBD,LMC,,,,
SXM,Sint Maarten (Dutch part),,,LCN,LNX,HIC,,,,
SYC,Seychelles,55.4466,-4.6309,SSF,IBD,HIC,,,,
SYR,Syrian Arab Republic,36.3119,33.5146,MEA,IDX,LIC,,,,
TCA,Turks and Caicos Islands,-71.141389,21.4602778,LCN,LNX,HIC,,,,
TCD,Chad,15.0445,12.1048,SSF,IDX,LIC,,,,
TGO,Togo,1.2255,6.1228,SSF,IDX,LIC,,,,
THA,Thailand,100.521,13.7308,EAS,IBD,UMC,1.0,1.0,1.0,4.0
TJK,Tajikistan,68.7864,38.5878,ECS,IDX,LIC,,,,
TKM,Turkmenistan,58.3794,37.9509,ECS,IBD,UMC,,,,
TLS,Timor-Leste,125.567,-8.56667,EAS,IDB,LMC,,,,
TON,Tonga,-175.216,-21.136,EAS,IDX,UMC,,,,
TTO,Trinidad and Tobago,-61.4789,10.6596,LCN,IBD,HIC,1.0,1.0,,4.0
TUN,Tunisia,10.21,36.7899,MEA,IBD,LMC,1.0,1.0,,4.0
TUR,Turkey,32.3606,39.7153,ECS,IBD,UMC,1.0,1.0,1.0,4.0
TUV,Tuvalu,179.089567,-8.6314877,EAS,IDX,UMC,,,,
TZA,Tanzania,35.7382,-6.17486,SSF,IDX,LIC,,,,
UGA,Uganda,32.5729,0.314269,SSF,IDX,LIC,,,,
UKR,Ukraine,30.5038,50.4536,ECS,IBD,LMC,1.0,1.0,,4.0
URY,Uruguay,-56.0675,-34.8941,LCN,IBD,HIC,,,1.0,3.0
USA,United States,-77.032,38.8895,NAC,LNX,HIC,1.0,1.0,,4.0
UZB,Uzbekistan,69.269,41.3052,ECS,IDB,LMC,1.0,1.0,1.0,4.0
VCT,St. Vincent and the Grenadines,-61.2653,13.2035,LCN,IDB,UMC,,,,
VEN,"Venezuela, RB",-69.8371,9.08165,LCN,IBD,UMC,1.0,,1.0,4.0
VGB,British Virgin Islands,-64.623056,18.431389,LCN,LNX,HIC,,,,
VIR,Virgin Islands (U.S.),-64.8963,18.3358,LCN,LNX,HIC,,,,
VNM,Vietnam,105.825,21.0069,EAS,IBD,LMC,1.0,1.0,,4.0
VUT,Vanuatu,168.321,-17.7404,EAS,IDX,LMC,,,,
WSM,Samoa,-171.752,-13.8314,EAS,IDX,UMC,,,,
XKX,Kosovo,20.926,42.565,ECS,IDX,UMC,1.0,1.0,,4.0
YEM,"Yemen, Rep.",44.2075,15.352,MEA,IDX,LIC,,,,
ZAF,South Africa,28.1871,-25.746,SSF,IBD,UMC,1.0,1.0,,4.0
ZMB,Zambia,28.2937,-15.3982,SSF,IDX,LMC,,,,
ZWE,Zimbabwe,31.0672,-17.8312,SSF,IDB,LMC,,,,
